Portal Group,Request ID,Request Type,Priority (SLA)
NAV/Risk File Reading/Loading,43,Historical NAV Upload,P5-Very Low
NAV/Risk File Reading/Loading,129,File Setup - Other,P5-Very Low
NAV/Risk File Reading/Loading,40,Update to Risk Reader,P4-Low
NAV/Risk File Reading/Loading,39,Update to NAV Reader,P4-Low
NAV/Risk File Reading/Loading,128,SFTP Setup - PUSH,P5-Very Low
NAV/Risk File Reading/Loading,147,SFTP Issue - HIGH Impact,P2-High
NAV/Risk File Reading/Loading,135,SFTP Setup - PULL,P5-Very Low
NAV/Risk File Reading/Loading,41,NAV/Risk Reader/Data Issue - General,P3-Middle
NAV/Risk File Reading/Loading,99,New NAV Reader,P5-Very Low
NAV/Risk File Reading/Loading,38,New Risk Reader,P5-Very Low
NAV/Risk File Reading/Loading,44,NAV/Risk Reader/Data Issue - HIGH Impact,P2-High
"NAV/Risk File Reading/Loading, Other",165,SFTP Issue - General,P3-Middle
Other,170,General Data Deletion Request,P4-Low
Other,19,Other Issue - HIGH IMPACT,P2-High
Other,18,Other Issue - General,P3-Middle
Other,169,Delete Contact Request,P4-Low
Other,133,Other Issue - CRITICAL or WIDESPREAD impact,P1- Very High
Other,17,Other Support Request,P4-Low
Static Data,238,Update Static Data - Fund/Sub-Fund/Share Class,P4-Low
Static Data,168,Delete Fund/Sub-Fund/Share Class,P4-Low
Static Data,215,Incident Log Issue - General,P3-Middle
Static Data,239,Static Data Issue - General,P3-Middle
"Static Data, DDQ",214,Update Contact,P4-Low
"Static Data, Information Request",212,Request for Automated Reports,P5-Very Low
User Access/Permission,195,DD - Unlock User,P2-High
User Access/Permission,25,Deactivate User,P3-Middle
User Access/Permission,175,Carne Technology - Permanent Curator Production access,P2-High
User Access/Permission,134,Access/Permission Issue - General,P3-Middle
User Access/Permission,26,New Team Setup,P5-Very Low
User Access/Permission,171,User Account Recertification,P5-Very Low
User Access/Permission,23,New User Setup,P5-Very Low
User Access/Permission,27,Team Update,P4-Low
User Access/Permission,142,GFD ONLY - User Access Setup,P4-Low
User Access/Permission,24,User Permission Update,P4-Low
User Access/Permission,29,Access/Permission Issue - HIGH impact,P2-High
